year,intensity_t_per_MWh
2007,0.7056369726047764
2008,0.7060190926622599
2009,0.7149056171601194
2010,0.7259433968188687
2011,0.7186381861548814
2012,0.7029887734009009
2013,0.7068935234647589
2014,0.696450595752569
2015,0.6973638470717783
2016,0.707274646450097
2017,0.7017586179428787
2018,0.6910368257129804
2019,0.6652884677386237
2020,0.6340379743853534
2021,0.6075300484097282
2022,0.5759743956686771
