series,n,sen_slope_per_decade,ols_slope_per_decade,ols_p,mk_tau,mk_p,mk_p_tfpw,mk_r1,mk_trend
bio share (%),16,0.14206421869780828,0.18055993651433885,0.052438266043875095,0.16666666666666666,0.3923143472853553,0.13764584551826478,0.6188495885589902,no trend
coal share (%),16,-0.8613187434178551,-2.0572287901852073,0.32419358162446466,-0.06666666666666667,0.7526419827681855,0.7526419827681855,0.4831979901632182,no trend
distillate share (%),16,-0.0007128186849648828,-0.008962032231677396,0.3477478224160838,0.0,1.0,1.0,0.11971883275027993,no trend
gas share (%),16,-8.963788000514795,-9.041711190066744,1.131085611814426e-05,-0.7333333333333333,8.967300398332877e-05,8.967300398332877e-05,0.11790959911027114,decreasing
other share (%),16,-8.72840390594412e-05,-0.002939845078704497,0.010461672862210938,-0.525,0.0012356929837330354,0.0012356929837330354,0.4010470090408897,decreasing
solar share (%),16,0.2636464071026926,1.0755761633202012,0.0017498333538216754,0.8,1.3535013195148089e-05,2.0264559448340922e-06,0.6342253792638106,increasing
wind share (%),16,8.026583499259182,9.854705757727793,1.1035135243742876e-06,0.8333333333333334,8.302582980269332e-06,7.470442823413938e-07,0.6386685688911099,increasing
renewables share (%),16,8.95734668903976,11.110841857562335,2.116320474462818e-06,0.8166666666666667,1.2585861611298102e-05,7.470442823413938e-07,0.6302082835607709,increasing
emissions intensity (t/MWh),16,-0.056159692283181406,-0.07144174031878273,0.00022100556843177897,-0.65,0.0005268233470895509,1.3314554487794823e-05,0.6228077299524142,decreasing
