series,n,ols_rate_mm_per_yr,ols_p,ols_stderr,sen_rate_mm_per_yr
full record (1897-2022),113,1.782503138838063,1.8213922151494304e-24,0.13515787633617676,1.6909163473818687
pre-1993,83,1.4362488104971998,6.758041558795534e-12,0.17900884828632302,1.4073547979798111
1993- (altimetry era),30,5.110781339535511,0.00025828250355224323,1.2224281589733494,5.160714285714286
