driver,n_years,period,pearson_r_raw,p_raw,pearson_r_detrended,p_detrended
IOD (DMI),75,1950-2024,-0.40533722892187585,0.00030913688931669494,-0.25581721164631116,0.02674407533433756
SAM (Marshall),68,1957-2024,-0.31049587413959695,0.009966831674206872,-0.1974829637685733,0.10647635987152893
ENSO (Nino3.4),75,1950-2024,-0.40788413824910646,0.0002808237379169595,-0.3491394638335607,0.0021399857752355898
