date,sst,clim,thr,anom,mhw
1982-01-01,25.22590163934426,25.347163217065336,26.859290322580645,-0.12126157772107504,False
1982-01-02,25.389016393442624,25.385200603088443,26.907503966155467,0.0038157903541815585,False
1982-01-03,25.520655737704917,25.42348699957579,26.955520359598086,0.09716873812912752,False
1982-01-04,25.544590163934426,25.46138703643299,27.00134743521946,0.08320312750143799,False
1982-01-05,25.271475409836064,25.49827681737301,27.044638815441566,-0.22680140753694644,False
1982-01-06,25.854426229508196,25.533702021289486,27.087874669487043,0.32072420821871006,False
1982-01-07,26.40081967213115,25.56764101460712,27.128297726070862,0.8331786575240301,False
1982-01-08,26.398360655737704,25.60005182818979,27.165469592808037,0.7983088275479133,False
1982-01-09,26.403442622950816,25.631205314400397,27.202404547858276,0.7722373085504195,False
1982-01-10,26.161803278688524,25.66166864148403,27.238008989952405,0.5001346372044928,False
1982-01-11,25.978852459016395,25.691880142267443,27.272819143310418,0.2869723167489511,False
1982-01-12,25.661475409836065,25.721393225947914,27.30740243257536,-0.059917816111848765,False
1982-01-13,25.709016393442624,25.75035171714841,27.338381279746166,-0.04133532370578408,False
1982-01-14,26.738524590163934,25.779105782102167,27.366930195663674,0.9594188080617663,False
1982-01-15,26.887049180327868,25.808188098260754,27.396053939714438,1.0788610820671138,False
1982-01-16,26.59032786885246,25.838306356063967,27.425646218931785,0.7520215127884917,False
1982-01-17,26.737540983606557,25.8695926106764,27.45586197778953,0.867948372930158,False
1982-01-18,26.784754098360658,25.902265725813635,27.488282919090437,0.882488372547023,False
1982-01-19,26.75918032786885,25.936347440282695,27.515720253833955,0.8228328875861557,False
1982-01-20,26.767540983606555,25.971376342885463,27.546734003172926,0.7961646407210914,False
1982-01-21,26.785245901639346,26.007267262791853,27.585003701745112,0.7779786388474932,False
1982-01-22,26.637868852459018,26.0446287678477,27.62463458487573,0.5932400846113168,False
1982-01-23,25.804754098360654,26.083506225662227,27.668807509254364,-0.2787521273015727,False
1982-01-24,25.56393442622951,26.123907151899747,27.717338445267057,-0.5599727256702387,False
1982-01-25,25.48688524590164,26.165653173725623,27.767286092014807,-0.6787679278239835,False
1982-01-26,25.827377049180328,26.208589699213174,27.8206287678477,-0.38121265003284677,False
1982-01-27,26.201147540983605,26.25202962998574,27.874454257006875,-0.05088208900213331,False
1982-01-28,26.13360655737705,26.295570725766392,27.92741988365944,-0.1619641683893427,False
1982-01-29,26.08622950819672,26.338861737416465,27.97948175568482,-0.2526322292197456,False
1982-01-30,26.07540983606557,26.381653109626136,28.02857641459545,-0.3062432735605647,False
1982-01-31,26.858852459016394,26.42405735301188,28.077693812797452,0.43479510600451476,False
1982-02-01,26.97983606557377,26.4660602855632,28.127132205182434,0.5137757800105724,False
1982-02-02,27.414426229508198,26.507374469176167,28.176352723426753,0.9070517603320312,False
1982-02-03,27.09983606557377,26.547108744771887,28.22322421998942,0.5527273208018819,False
1982-02-04,26.790327868852458,26.58575100556063,28.26982284505552,0.20457686329182678,False
1982-02-05,26.46311475409836,26.62389566206753,28.316145425700682,-0.1607809079691691,False
1982-02-06,26.347540983606557,26.66187449321346,28.358558963511364,-0.31433350960690376,False
1982-02-07,26.390819672131148,26.700258128615612,28.400076679005817,-0.30943845648446455,False
1982-02-08,27.28655737704918,26.739347659567645,28.441349021681646,0.547209717481536,False
1982-02-09,27.2127868852459,26.77926082079387,28.48262136435748,0.4335260644520318,False
1982-02-10,27.01065573770492,26.819921301860486,28.523893707033313,0.1907344358444334,False
