series,n,sen_slope_per_decade,ols_slope_per_decade,ols_p,mk_tau,mk_p,mk_p_tfpw,mk_r1,mk_trend
MHW days per year,44,4.625,8.16631430584919,0.08804119825304606,0.19767441860465115,0.05895732642593012,0.05895732642593012,0.25666560399182503,no trend
annual max intensity (C above climatology),44,0.23512986347009293,0.3101460746854156,0.015216570731394971,0.2558139534883721,0.01445616575147656,0.003871381123814744,0.45083062900259335,increasing
annual mean SST (C),44,0.1241828834799574,0.1196228563285697,0.026582295877202948,0.21141649048625794,0.04414217868460688,0.009447421507682869,0.3996174894554319,increasing
