year,facility,state,emitter,baseline_t,covered_t,net_t,accus_surrendered,smcs_surrendered,smcs_issued,regime,baseline_mymp_cumulative,facility_id,sector
2016,Enfield Project Venture,WA,Woodside Energy Ltd.,309673.0,211235.0,211235.0,0.0,0.0,0.0,original,False,ENFIELD PROJECT VENTURE,Other
2016,Tropicana Gold Mine,WA,AngloGold Ashanti Australia Limited,283693.0,239861.0,239861.0,0.0,0.0,0.0,original,False,TROPICANA GOLD MINE,Metal ore mining
2016,MWB01 Mt Whaleback Mine - MNG Facility,WA,BHP BILLITON IRON ORE PTY. LTD.,253714.0,204194.0,204194.0,0.0,0.0,0.0,original,False,MWB01 MT WHALEBACK MINE MNG FACILITY,Other
2016,West Angelas Mine,WA,Robe River Mining Co. Pty. Ltd.,244656.0,237319.0,237319.0,0.0,0.0,0.0,original,False,WEST ANGELAS MINE,Metal ore mining
2016,Fimiston,WA,KALGOORLIE CONSOLIDATED GOLD MINES PTY LTD,238394.0,226876.0,226876.0,0.0,0.0,0.0,original,False,FIMISTON,Other
2016,Mt Keith Power Station,WA,TEC DESERT PTY LTD,233797.0,219180.0,219180.0,0.0,0.0,0.0,original,False,MT KEITH POWER STATION,Electricity
2016,Wheatstone Project LNG Plant and Associated Facilities,WA,Bechtel (Western Australia) Pty Ltd,229260.0,169756.0,169756.0,0.0,0.0,0.0,original,False,WHEATSTONE PROJECT LNG PLANT AND ASSOCIATED FACILITIES,Other
2016,Jimblebar Mine,WA,BHP BILLITON IRON ORE PTY. LTD.,225310.0,216882.0,216882.0,0.0,0.0,0.0,original,False,JIMBLEBAR MINE,Metal ore mining
2016,AWR Rail Freight WA,WA,AUSTRALIA WESTERN RAILROAD PTY LTD,216451.0,169479.0,169479.0,0.0,0.0,0.0,original,False,AWR RAIL FREIGHT WA,Other
2016,Boddington Mine,WA,NEWMONT BODDINGTON PTY LTD,208038.0,207938.0,207938.0,0.0,0.0,0.0,original,False,BODDINGTON MINE,Other
2016,YAN01 Yandi/Marillana Creek Mine - MNG Facility,WA,BHP BILLITON IRON ORE PTY. LTD.,195783.0,188419.0,188419.0,0.0,0.0,0.0,original,False,YAN01 YANDI MARILLANA CREEK MINE MNG FACILITY,Metal ore mining
2016,Tom Price Mine / WTS,WA,Hamersley Iron Pty. Limited,195096.0,160945.0,160945.0,0.0,0.0,0.0,original,False,TOM PRICE MINE WTS,Metal ore mining
2016,Solomon Power Station,WA,TEC PIPE PTY LTD,183950.0,175216.0,175216.0,0.0,0.0,0.0,original,False,SOLOMON POWER STATION,Electricity
2016,NKW01 Nickel West Kwinana Facility,WA,BHP BILLITON NICKEL WEST PTY LTD,181233.0,162531.0,162531.0,0.0,0.0,0.0,original,False,NKW01 NICKEL WEST KWINANA FACILITY,Alumina and metals
2016,Leinster Power Station,WA,TEC DESERT PTY LTD,173336.0,168384.0,168384.0,0.0,0.0,0.0,original,False,LEINSTER POWER STATION,Electricity
2016,NKS01 Nickel West Kalgoorlie Facility,WA,BHP BILLITON NICKEL WEST PTY LTD,166573.0,161689.0,161689.0,0.0,0.0,0.0,original,False,NKS01 NICKEL WEST KALGOORLIE FACILITY,Alumina and metals
2016,Marandoo Mine,WA,Hamersley Iron Pty. Limited,160856.0,138251.0,138251.0,0.0,0.0,0.0,original,False,MARANDOO MINE,Metal ore mining
2016,ATCO Gas Australia Pty Ltd,WA,ATCO Gas Australia GP Pty Ltd,159142.0,165165.0,159142.0,6023.0,0.0,0.0,original,False,ATCO GAS AUSTRALIA PTY LTD,Other
2016,Koolyanobbing/Windarling Operations,WA,Cliffs Natural Resources Holdings Pty Ltd,155569.0,111149.0,111149.0,0.0,0.0,0.0,original,False,KOOLYANOBBING WINDARLING OPERATIONS,Other
