facility_id,names,years,first_year,last_year,emitters
KWINANA REFINERY,Kwinana Refinery,5,2016,2020,BP REFINERY (KWINANA) PROPRIETARY LIMITED
LEINSTER POWER STATION,Leinster Power Station,9,2016,2024,TEC DESERT PTY LTD
MACEDON,Macedon,1,2024,2024,WOODSIDE ENERGY GLOBAL PTY LTD
MARANDOO MINE,Marandoo Mine,9,2016,2024,HAMERSLEY IRON PTY. LIMITED; Hamersley Iron Pty. Limited
MESA A MINE,Mesa A Mine,4,2020,2023,ROBE RIVER MINING CO. PTY. LTD.; Robe River Mining Co. Pty. Ltd.
MESA J K MINE,Mesa J / K Mine,1,2023,2023,Robe River Mining Co. Pty. Ltd.
MT KEITH POWER STATION,Mt Keith Power Station,9,2016,2024,TEC DESERT PTY LTD
MT MARION LITHIUM PROJECT,Mt Marion Lithium Project,2,2022,2023,MT MARION LITHIUM PTY LTD; REED INDUSTRIAL MINERALS PTY LTD
MT MORGANS GOLD PROJECT,Mt Morgans Gold Project,2,2018,2019,MT MORGANS WA MINING PTY LTD
MURRIN MURRIN OPERATIONS,Murrin Murrin Operations,9,2016,2024,MURRIN MURRIN OPERATIONS PTY LTD
MWB01 MT WHALEBACK MINE MNG FACILITY,MWB01 Mt Whaleback Mine - MNG Facility,3,2016,2018,BHP BILLITON IRON ORE PTY. LTD.
NEWMAN OPERATIONS,Newman Operations,6,2019,2024,BHP IRON ORE PTY LTD
NEWMAN POWER STATION,Newman Power Station,9,2016,2024,ALINTA ENERGY TRANSMISSION (ROY HILL) PTY LTD; APA TRANSMISSION (ROY HILL) PTY LTD
NEWMONT BODDINGTON GOLD OPERATION,Newmont Boddington Gold Operation,6,2019,2024,NEWMONT BODDINGTON PTY LTD; Newmont Boddington Pty Ltd
NEWMONT GOLDCORP BODDINGTON OPERATION,Newmont Goldcorp Boddington Operation,1,2018,2018,NEWMONT BODDINGTON PTY LTD
NINGALOO VISION FPSO,Ningaloo Vision FPSO,8,2016,2024,QUADRANT ENERGY AUSTRALIA LIMITED; Quadrant Energy Australia Limited; SANTOS LIMITED; Santos Limited
NKS01 NICKEL WEST KALGOORLIE FACILITY,NKS01 Nickel West Kalgoorlie Facility,9,2016,2024,BHP BILLITON NICKEL WEST PTY LTD; BHP NICKEL WEST PTY LTD
NKW01 NICKEL WEST KWINANA FACILITY,NKW01 Nickel West Kwinana Facility,9,2016,2024,BHP BILLITON NICKEL WEST PTY LTD; BHP NICKEL WEST PTY LTD
NMK01 NICKEL WEST MT KEITH FACILITY,NMK01 Nickel West Mt Keith Facility,6,2019,2024,BHP BILLITON NICKEL WEST PTY LTD; BHP NICKEL WEST PTY LTD
NORTH WEST SHELF PROJECT,North West Shelf Project,9,2016,2024,WOODSIDE ENERGY LTD.; Woodside Energy Ltd.
ONSLOW HAUL ROAD,Onslow Haul Road,1,2024,2024,ONSLOW INFRACO PTY LTD
PARABURDOO MINE,Paraburdoo Mine,9,2016,2024,HAMERSLEY IRON PTY. LIMITED; Hamersley Iron Pty. Limited
PILBARA RAIL OPERATIONS,Pilbara Rail Operations,9,2016,2024,PILBARA IRON PTY LTD
PILGANGOORA OPERATIONS,Pilgangoora Operations,3,2022,2024,PILBARA MINERALS LIMITED; PLS GROUP LIMITED; Pilbara Minerals Limited
PINJARRA ALUMINA REFINERY,Pinjarra Alumina Refinery,9,2016,2024,ALCOA OF AUSTRALIA LIMITED; Alcoa of Australia Limited
PLUTO LNG,Pluto LNG,9,2016,2024,WOODSIDE BURRUP PTY. LTD.; Woodside Burrup Pty. Ltd.
PRELUDE FLOATING LIQUIFIED NATURAL GAS,Prelude Floating Liquified Natural Gas,1,2017,2017,SHELL AUSTRALIA PTY LTD
PREMIER COAL MINE OPEN CUT,Premier Coal Mine (Open Cut),3,2022,2024,PREMIER COAL LTD; Premier Coal Pty Ltd
PRL03 RAIL IOR FACILITY,PRL03 Rail - IOR Facility,9,2016,2024,BHP BILLITON IRON ORE PTY. LTD.; BHP IRON ORE PTY LTD
RAIL,Rail,6,2018,2024,THE PILBARA INFRASTRUCTURE PTY LTD
RAVENSTHORPE NICKEL OPERATION,Ravensthorpe Nickel Operation,6,2016,2024,FQM AUSTRALIA NICKEL PTY LTD; FQM Australia Nickel Pty Ltd
RMS PORT HEDLAND,RMS PORT HEDLAND,1,2017,2017,RIVET MINING SERVICES PTY LTD
ROY HILL MINE,Roy Hill Mine,9,2016,2024,ROY HILL HOLDINGS PTY LTD; Roy Hill Holdings Pty Ltd
SINO IRON PROJECT CAPE PRESTON,Sino Iron Project - Cape Preston; Sino Iron Project – Cape Preston,9,2016,2024,CITIC PACIFIC MINING MANAGEMENT PTY LTD; CITIC Pacific Mining Management Pty Ltd
SOLOMON MINE,Solomon Mine,9,2016,2024,FMG SOLOMON PTY LTD
SOLOMON POWER STATION,Solomon Power Station,9,2016,2024,FMG SOLOMON PTY LTD; TEC PIPE PTY LTD
SOUTH WEST SYNTHETIC RUTILE OPERATIONS,South West Synthetic Rutile Operations,9,2016,2024,ILUKA RESOURCES LIMITED; Iluka Resources Limited
ST IVES GOLD MINE,St Ives Gold Mine,1,2016,2016,ST IVES GOLD MINING COMPANY PTY LIMITED
SUNRISE DAM,Sunrise Dam,9,2016,2024,ANGLOGOLD ASHANTI AUSTRALIA LIMITED; AngloGold Ashanti Australia Limited
TELFER GOLD MINE,Telfer Gold Mine,9,2016,2024,GREATLAND HOLDINGS GROUP PTY LTD; NEWCREST MINING LIMITED; Newcrest Mining Limited
THUNDERBOX OPERATIONS,Thunderbox Operations,4,2021,2024,NORTHERN STAR (THUNDERBOX) PTY LTD
TOM PRICE MINE WTS,Tom Price Mine / WTS,9,2016,2024,HAMERSLEY IRON PTY. LIMITED; Hamersley Iron Pty. Limited
TROPICANA GOLD MINE,Tropicana Gold Mine,9,2016,2024,ANGLOGOLD ASHANTI AUSTRALIA LIMITED; AngloGold Ashanti Australia Limited
VARANUS HUB,Varanus Hub,9,2016,2024,QUADRANT ENERGY AUSTRALIA LIMITED; Quadrant Energy Australia Limited; SANTOS LIMITED; Santos Limited
VINCENT PROJECT VENTURE,Vincent Project Venture,8,2016,2024,WOODSIDE ENERGY LTD.; Woodside Energy Ltd.
WA TRANSPORT FACILITY,WA Transport facility,1,2024,2024,MGM BULK PTY LTD
WAGERUP ALUMINA REFINERY,Wagerup Alumina Refinery,9,2016,2024,ALCOA OF AUSTRALIA LIMITED; Alcoa of Australia Limited
WEST ANGELAS MINE,West Angelas Mine,9,2016,2024,ROBE RIVER MINING CO. PTY. LTD.; Robe River Mining Co. Pty. Ltd.
WEST PILBARA IRON ORE PROJECT,West Pilbara Iron Ore Project,1,2024,2024,ONSLOW IRON PTY LTD
WESTERN AUSTRALIA,Western Australia,4,2020,2023,ALLIANCE AVIATION SERVICES LIMITED; Alliance Aviation Services Limited
WHEATSTONE OPERATIONS,Wheatstone Operations,8,2017,2024,CHEVRON AUSTRALIA PTY LTD
WHEATSTONE PROJECT LNG PLANT AND ASSOCIATED FACILITIES,Wheatstone Project LNG Plant and Associated Facilities,3,2016,2018,BECHTEL (WESTERN AUSTRALIA) PTY LTD; Bechtel (Western Australia) Pty Ltd
WODGINA LITHIUM PROJECT,Wodgina Lithium Project,1,2024,2024,MARBL Lithium Operations Pty Ltd
WODGINA OPERATIONS,Wodgina Operations,2,2022,2023,MARBL LITHIUM OPERATIONS PTY LTD; MARBL Lithium Operations Pty Ltd
WOR01,WOR01,4,2021,2024,SOUTH32 WORSLEY ALUMINA PTY LTD; South32 Worsley Alumina Pty Ltd
WOR01 WORSLEY ALUMINA REFINERY MINE,WOR01 Worsley Alumina Refinery/Mine,5,2016,2020,BHP BILLITON WORSLEY ALUMINA PTY LTD; SOUTH32 WORSLEY ALUMINA PTY LTD; South32 Worsley Alumina Pty Ltd
YAN01 YANDI MARILLANA CREEK MINE MNG FACILITY,YAN01 Yandi/Marillana Creek Mine - MNG Facility,9,2016,2024,BHP BILLITON IRON ORE PTY. LTD.; BHP IRON ORE PTY LTD
YANDICOOGINA MINE,Yandicoogina Mine,9,2016,2024,HAMERSLEY IRON - YANDI PTY LIMITED; Hamersley Iron - Yandi Pty Limited
YARA PILBARA,Yara Pilbara,1,2016,2016,Yara Pilbara Fertilisers Pty Ltd
YARNIMA POWER STATION,Yarnima Power Station,9,2016,2024,BHP BILLITON IRON ORE PTY. LTD.; BHP IRON ORE PTY LTD
YPF AMMONIA PLANT,YPF AMMONIA PLANT,8,2017,2024,YARA PILBARA FERTILISERS PTY LTD; Yara Pilbara Fertilisers Pty Ltd
