series,n,sen_slope_per_year,ols_slope_per_year,ols_p,mk_tau,mk_p,mk_p_tfpw,mk_trend
WA total covered emissions (t),9,392394.375,497469.81666666665,0.061027006486499946,0.3333333333333333,0.2514521865080218,0.2514521865080218,no trend
sector: Alumina and metals,9,237971.17857142858,390168.38333333336,0.03092180760899364,0.3888888888888889,0.1753080808082735,0.1753080808082735,no trend
sector: Electricity,9,39571.41666666667,41070.13333333333,0.0004312175182341382,0.7222222222222222,0.00914914757959377,0.00914914757959377,increasing
sector: LNG / oil and gas,9,404448.375,403219.56666666665,0.1298267614644334,0.4444444444444444,0.11785089502136512,0.11785089502136512,no trend
sector: Metal ore mining,9,606222.2857142857,570602.1666666666,3.912463774815256e-05,0.8888888888888888,0.0012293849189448588,0.0012293849189448588,increasing
sector: Other manufacturing,9,-9296.0,58712.3,0.3389587560111622,-0.05555555555555555,0.9169652366288644,0.9169652366288644,no trend
sector: Transport,9,96620.92857142858,105689.50000000001,0.00046306747164562214,0.7777777777777778,0.004878564475033636,0.004878564475033636,increasing
