source,request_url,span,date_retrieved,note
"UHSLC RQDS hourly, Fremantle (UHSLC station 175)",https://uhslc.soest.hawaii.edu/data/csv/rqds/indian/hourly/h175a.csv,1984-01-01 to 2021-12-31,2026-07-16,"fetched rqds: https://uhslc.soest.hawaii.edu/data/csv/rqds/indian/hourly/h175a.csv (1984-01-01 to 2021-12-31); fetched fd: https://uhslc.soest.hawaii.edu/data/csv/fast/hourly/h175.csv (1984-01-01 to 2026-05-10); rqds: dropped 12 out-of-range and 0 flatlined hours in QC; fd: dropped 12 out-of-range and 0 flatlined hours in QC; feed overlap: 330893 shared hours, 100.0% byte-identical values; splice: 330893 RQDS hours (through 2021), 31719 FD hours (2022 on)"
"UHSLC Fast Delivery hourly, Fremantle (UHSLC station 175)",https://uhslc.soest.hawaii.edu/data/csv/fast/hourly/h175.csv,1984-01-01 to 2026-05-10,2026-07-16,used from 2022 onward only
