site,season,days_vh,days_sev,ffdi_p99,ffdi_sum,season_span,n_days
manjimup,1945,15,0,33.05197999999997,2612.0379999999996,119,212
manjimup,1946,3,0,26.602279999999972,1763.2430000000002,52,212
manjimup,1947,15,0,33.67063999999999,2351.2659999999996,92,213
manjimup,1948,11,0,28.08703,2126.835,85,212
manjimup,1949,25,1,38.85996999999999,2609.6369999999997,104,212
manjimup,1950,3,0,25.192909999999976,1882.482,50,212
manjimup,1951,26,1,37.02835999999999,2664.1749999999997,128,213
manjimup,1952,10,0,33.91565,1980.6770000000001,48,212
manjimup,1953,13,0,34.539539999999946,2125.7799999999997,61,212
manjimup,1954,6,0,29.718789999999984,1896.373,90,212
manjimup,1955,11,0,38.091559999999966,2003.2040000000002,84,213
manjimup,1956,3,0,30.852979999999896,1741.44,20,212
manjimup,1957,8,0,38.461369999999924,2223.432,69,212
manjimup,1958,10,1,35.792459999999984,2156.595,88,212
manjimup,1959,4,0,25.74672,1790.7100000000003,78,213
manjimup,1960,18,0,39.56115,2447.9230000000002,78,212
manjimup,1961,10,0,33.10736999999996,2326.92,128,212
manjimup,1962,1,0,23.088169999999966,1303.0720000000001,1,212
manjimup,1963,5,0,30.67823999999999,1898.556,33,213
manjimup,1964,7,0,31.569549999999992,1610.226,57,212
manjimup,1965,3,0,28.00537999999995,1609.3129999999999,61,212
manjimup,1966,14,0,33.69671,2381.907,96,212
manjimup,1967,6,0,30.762039999999995,1476.1780000000003,73,213
manjimup,1968,7,1,35.611619999999995,1800.6689999999999,73,212
manjimup,1969,10,0,37.44737999999997,2301.158,88,212
manjimup,1970,5,0,27.13336999999999,1697.7950000000003,45,212
manjimup,1971,13,0,36.5298,1947.966,85,213
manjimup,1972,8,0,30.777909999999963,2400.6719999999996,134,212
manjimup,1973,9,0,29.346009999999982,1851.665,79,212
manjimup,1974,11,0,36.63526999999996,1788.9430000000002,77,212
manjimup,1975,8,0,27.871119999999998,1868.6840000000002,107,213
manjimup,1976,8,0,29.342049999999983,1941.2330000000002,63,212
manjimup,1977,5,0,28.95448,1881.6950000000002,74,212
manjimup,1978,10,0,34.05632999999999,2000.326,103,212
manjimup,1979,6,0,29.098119999999998,1997.2890000000002,77,213
manjimup,1980,5,0,28.91987999999997,1776.763,69,212
manjimup,1981,0,0,16.26946999999997,1043.7050000000002,0,212
manjimup,1982,8,0,31.117439999999977,1881.8780000000002,72,212
manjimup,1983,11,0,32.77055999999998,1904.497,110,213
manjimup,1984,10,0,33.17359999999998,1843.826,79,212
manjimup,1985,7,1,41.288139999999835,1580.988,42,212
manjimup,1986,7,0,28.125449999999994,1904.7749999999999,35,212
manjimup,1987,23,1,36.49519999999999,2482.636,95,213
manjimup,1988,7,0,28.915529999999983,1701.891,81,212
manjimup,1989,5,0,28.379049999999992,1635.335,50,212
manjimup,1990,7,1,34.48787999999998,1791.5969999999998,86,212
manjimup,1991,6,0,30.346559999999986,1642.268,76,213
manjimup,1992,1,0,21.13556999999998,1415.461,1,212
manjimup,1993,11,0,30.260409999999982,2016.228,116,212
manjimup,1994,8,0,29.244869999999988,2224.637,95,212
manjimup,1995,2,0,23.5332,1575.4299999999998,27,213
manjimup,1996,1,0,21.397599999999997,1257.393,1,212
manjimup,1997,5,0,33.87726999999998,1794.19,73,212
manjimup,1998,1,0,20.704519999999995,1576.866,1,212
manjimup,1999,0,0,19.541799999999995,1239.79,0,213
manjimup,2000,4,0,27.85670999999999,1883.5480000000002,69,212
manjimup,2001,0,0,21.68907,1591.2309999999998,0,212
manjimup,2002,4,0,25.333709999999996,1705.56,87,212
manjimup,2003,2,0,23.35799999999999,1515.8379999999997,4,213
manjimup,2004,5,0,26.019839999999995,1516.901,65,212
manjimup,2005,2,0,23.559449999999988,1176.56,11,212
manjimup,2006,5,0,30.65238999999993,1867.1009999999997,70,212
manjimup,2007,0,0,20.57884,1522.676,0,213
manjimup,2008,4,0,26.763079999999984,1426.815,59,212
manjimup,2009,3,0,28.51484999999993,1677.0439999999996,54,212
manjimup,2010,5,0,29.679049999999975,2167.5780000000004,154,212
manjimup,2011,5,0,30.370639999999987,1760.9479999999999,51,213
manjimup,2012,5,0,27.954099999999986,1640.416,51,212
manjimup,2013,4,0,27.29879999999998,1944.7930000000001,49,212
manjimup,2014,1,0,24.36444,1524.7,1,212
manjimup,2015,7,0,26.964,1643.8470000000002,113,213
manjimup,2016,5,0,33.56254999999996,1530.909,52,212
manjimup,2017,2,0,22.295499999999986,1705.466,12,212
manjimup,2018,0,0,19.699669999999998,1414.346,0,212
manjimup,2019,9,0,35.97239999999999,2068.473,56,213
manjimup,2020,11,0,31.408999999999992,1623.475,74,212
manjimup,2021,11,1,36.66169999999996,1809.812,52,212
manjimup,2022,0,0,22.548269999999995,1484.247,0,212
manjimup,2023,9,2,37.737719999999996,2480.8599999999997,80,213
manjimup,2024,1,0,22.92656,1604.696,1,212
manjimup,2025,2,0,23.811999999999983,1551.06,27,212
merredin,1941,80,3,50.911119999999976,4700.231,160,212
merredin,1942,40,2,45.256819999999955,3546.317,206,212
merredin,1943,88,7,55.57112,5259.875,211,213
merredin,1944,85,5,54.597749999999984,4752.252,202,212
merredin,1945,52,4,56.40996999999997,4442.271000000001,198,212
merredin,1946,82,5,56.69577999999994,4626.144,203,212
merredin,1947,102,7,59.76444,5198.417,185,213
merredin,1948,83,2,47.15144999999998,4959.424,198,212
merredin,1949,123,6,56.13199999999997,5846.454,188,212
merredin,1950,76,7,51.48985999999999,4772.591,196,212
merredin,1951,89,7,59.21416,5226.5419999999995,208,213
merredin,1952,80,9,57.57505999999997,4753.162,164,212
merredin,1953,81,5,58.26706999999998,5159.616,168,212
merredin,1954,58,4,54.28994999999993,4387.686000000001,169,212
merredin,1955,81,6,60.67323999999996,5108.247,155,213
merredin,1956,67,1,49.146009999999976,4488.38,192,212
merredin,1957,96,5,52.89279999999999,5419.102999999999,207,212
merredin,1958,84,6,53.95273,5145.341,189,212
merredin,1959,53,5,59.02427999999998,4063.0310000000004,155,213
merredin,1960,78,6,55.11811999999998,4914.41,163,212
