site,metric,epoch_1945_1974,epoch_1995_2024,change,pct_change
perth_airport,days_vh,36.13333333333333,29.633333333333333,-6.5,-17.988929889298895
perth_airport,days_sev,0.8,0.6333333333333333,-0.16666666666666674,-20.833333333333343
perth_airport,ffdi_p99,42.60815833333331,39.71556299999999,-2.8925953333333183,-6.788829760497714
perth_airport,ffdi_sum,3231.6768000000006,3003.794933333333,-227.88186666666752,-7.051505480581087
perth_airport,season_span,126.36666666666666,122.56666666666666,-3.799999999999997,-3.0071221313637544
manjimup,days_vh,9.666666666666666,3.7666666666666666,-5.8999999999999995,-61.03448275862069
manjimup,days_sev,0.13333333333333333,0.1,-0.033333333333333326,-24.999999999999996
manjimup,ffdi_p99,32.45207366666664,26.76082433333332,-5.691249333333321,-17.537398046705178
manjimup,ffdi_sum,2025.695,1657.7169666666664,-367.97803333333354,-18.165520146583447
manjimup,season_span,75.86666666666666,42.233333333333334,-33.633333333333326,-44.33216168717047
merredin,days_vh,73.26666666666667,70.53333333333333,-2.7333333333333343,-3.7306642402183816
merredin,days_sev,4.066666666666666,5.0,0.9333333333333336,22.950819672131153
merredin,ffdi_p99,53.04176999999998,53.457198666666635,0.41542866666665645,0.7832104144840125
merredin,ffdi_sum,4683.238066666667,4463.369933333333,-219.8681333333334,-4.694788738122518
merredin,season_span,183.86666666666667,182.3,-1.5666666666666629,-0.8520667150108754
margaret_river,days_vh,0.26666666666666666,0.23333333333333334,-0.033333333333333326,-12.499999999999998
margaret_river,days_sev,0.0,0.0,0.0,
margaret_river,ffdi_p99,16.576360999999988,15.540099333333321,-1.0362616666666664,-6.251442440633787
margaret_river,ffdi_sum,1249.8556666666666,1147.2438333333334,-102.61183333333315,-8.209894635833937
margaret_river,season_span,4.366666666666666,1.1333333333333333,-3.233333333333333,-74.04580152671755
