site,metric,label,window,n,sen_slope_per_decade,ols_slope_per_decade,ols_p,mk_tau,mk_p,mk_p_tfpw,mk_trend
perth_airport,days_vh,days at Very High (FFDI >= 25),full,85,-1.3759296822177147,-1.4270080125073288,0.005151193657755629,-0.2,0.006756645356725911,0.006756645356725911,decreasing
perth_airport,days_vh,days at Very High (FFDI >= 25),1975+,51,0.22222222222222224,0.5013574660633483,0.6145284746032081,0.03058823529411765,0.7572508223447353,0.7572508223447353,no trend
perth_airport,days_sev,days at Severe (FFDI >= 50),full,85,0.0,-0.0349814344342388,0.4918402609055196,-0.05574229691876751,0.3879654976563315,0.3879654976563315,no trend
perth_airport,days_sev,days at Severe (FFDI >= 50),1975+,51,0.0,0.18823529411764706,0.057243770498187484,0.11529411764705882,0.1535499658167456,0.1535499658167456,no trend
perth_airport,ffdi_p99,seasonal 99th-percentile FFDI,full,85,-0.43089564393939506,-0.4420348856751992,0.07002126752919983,-0.12829131652661063,0.08282231283647648,0.08282231283647648,no trend
perth_airport,ffdi_p99,seasonal 99th-percentile FFDI,1975+,51,0.3456249999999894,0.50959286877828,0.3129491997689058,0.06666666666666667,0.4950709364405846,0.4950709364405846,no trend
perth_airport,ffdi_sum,cumulative seasonal FFDI,full,85,-55.35821022727266,-56.206028532343176,0.0022817337979253033,-0.24873949579831933,0.0007610050773675694,0.0007610050773675694,decreasing
perth_airport,ffdi_sum,cumulative seasonal FFDI,1975+,51,-20.204999999999927,2.163057918552057,0.9531743056139056,-0.06823529411764706,0.48485820892479536,0.48485820892479536,no trend
perth_airport,season_span,days from first to last Very High day,full,85,-1.3938805245264692,-1.3457103771741254,0.2839168956848357,-0.08151260504201681,0.27086810780287096,0.27086810780287096,no trend
perth_airport,season_span,days from first to last Very High day,1975+,51,-0.6666666666666666,0.3013574660633486,0.9124215641366453,-0.03058823529411765,0.7574941647030489,0.7574941647030489,no trend
manjimup,days_vh,days at Very High (FFDI >= 25),full,85,-1.0526315789473684,-1.1180379128395543,1.914396900851363e-06,-0.34061624649859945,3.692179840585095e-06,3.692179840585095e-06,decreasing
manjimup,days_vh,days at Very High (FFDI >= 25),1975+,51,-0.8333333333333333,-0.8027149321266969,0.044026198607505736,-0.21176470588235294,0.027678473910516144,0.027678473910516144,decreasing
manjimup,days_sev,days at Severe (FFDI >= 50),full,85,0.0,0.004885675200312681,0.7602047407701669,-0.0061624649859943975,0.880869135451927,0.880869135451927,no trend
manjimup,days_sev,days at Severe (FFDI >= 50),1975+,51,0.0,0.026244343891402712,0.4756799975464845,0.012549019607843137,0.8124014909235275,0.8124014909235275,no trend
manjimup,ffdi_p99,seasonal 99th-percentile FFDI,full,85,-1.0615314393939326,-0.9648924780144594,7.32681385071769e-05,-0.2868347338935574,0.00010326530224186953,0.00010326530224186953,decreasing
manjimup,ffdi_p99,seasonal 99th-percentile FFDI,1975+,51,-0.5948117647058779,-0.5050882624434373,0.3277814554117652,-0.10588235294117647,0.2764290242025957,0.2764290242025957,no trend
manjimup,ffdi_sum,cumulative seasonal FFDI,full,85,-68.85676470588231,-67.66463279265194,5.6329895143811775e-06,-0.3378151260504202,4.794872716504723e-06,4.794872716504723e-06,decreasing
manjimup,ffdi_sum,cumulative seasonal FFDI,1975+,51,-50.94476190476176,-28.301783710407275,0.3086550403907523,-0.17647058823529413,0.06885419403371981,0.06885419403371981,no trend
manjimup,season_span,days from first to last Very High day,full,85,-5.357142857142857,-5.531366034786007,0.0005840536464268213,-0.26022408963585436,0.0004244824674224637,0.0004244824674224637,decreasing
manjimup,season_span,days from first to last Very High day,1975+,51,-8.076923076923077,-7.786425339366517,0.034716391068221546,-0.22431372549019607,0.02040945684626466,0.02040945684626466,decreasing
merredin,days_vh,days at Very High (FFDI >= 25),full,85,-0.27402402402402404,-0.4850498338870432,0.4891185455036384,-0.028011204481792718,0.7069522992201394,0.7069522992201394,no trend
merredin,days_vh,days at Very High (FFDI >= 25),1975+,51,2.962962962962963,2.885067873303168,0.03300159866717424,0.21490196078431373,0.02646020676566188,0.02646020676566188,increasing
merredin,days_sev,days at Severe (FFDI >= 50),full,85,0.0,0.10455344928669141,0.377406769780829,0.018207282913165267,0.8061826232549818,0.8061826232549818,no trend
merredin,days_sev,days at Severe (FFDI >= 50),1975+,51,0.0,0.2633484162895928,0.3517999789104441,0.07450980392156863,0.4407061343557107,0.4407061343557107,no trend
merredin,ffdi_p99,seasonal 99th-percentile FFDI,full,85,0.08515099239864767,0.09023149501660957,0.697196972875969,0.02296918767507003,0.75851238115256,0.75851238115256,no trend
merredin,ffdi_p99,seasonal 99th-percentile FFDI,1975+,51,0.4502878048780376,0.49800557466062967,0.34996204718331514,0.08862745098039215,0.3629872619516046,0.3629872619516046,no trend
merredin,ffdi_sum,cumulative seasonal FFDI,full,85,-37.03741276171491,-37.15067207348055,0.0840454414688682,-0.12941176470588237,0.08016629886657678,0.08016629886657678,no trend
merredin,ffdi_sum,cumulative seasonal FFDI,1975+,51,27.101219512195065,20.47756742081453,0.6396770902845671,0.05725490196078432,0.5586827422707092,0.5586827422707092,no trend
merredin,season_span,days from first to last Very High day,full,85,-0.6896551724137931,-0.86593707250342,0.2897546328085219,-0.07478991596638655,0.31238540878908977,0.31238540878908977,no trend
merredin,season_span,days from first to last Very High day,1975+,51,0.0,-0.7466063348416286,0.6800012539258388,-0.018823529411764704,0.8516557001521554,0.8516557001521554,no trend
