year,area_ha,production_t,yield_t_ha,regional_anom_pct,yield_anom_pct
1950,1171200,1047200,0.8941256830601093,-8.639649110529659,20.702134849938343
1951,1289100,1357300,1.052905127608409,-8.607175617105922,39.013567809880634
1952,1252300,1088000,0.8688014054140382,-10.116116519799125,12.240536429600146
1953,1213900,964500,0.7945465030068375,3.0738857100069525,0.48716405718342065
1954,1167600,1079800,0.9248030147310724,-22.815387700621585,14.549968080632631
1955,1205600,933000,0.7738885202388852,33.96620965932421,-6.078899992262284
1956,1169400,1448400,1.2385838891739354,-3.340320214119887,47.34194734539746
1957,1118800,873100,0.7803897032534859,-1.7004669644343753,-8.966978558269817
1958,1196800,900300,0.7522560160427807,5.8998045724956665,-13.91980666556635
1959,1332200,1568100,1.177075514187059,-15.128575216327905,32.175067195591375
1960,1504900,1595800,1.0604026845637584,-9.789451646242853,16.889462988376977
1961,1627400,1738100,1.0680226127565442,5.236378420838739,15.608692319001495
1962,1772500,1787000,1.0081805359661495,-12.208248151106044,7.200001573254929
1963,1944100,1972000,1.0143511136258423,29.327922738287764,5.980810650397068
1964,1878000,1423600,0.7580404685835995,29.484309283704352,-22.152427531769643
1965,2084700,1715500,0.8229001774835708,4.821060056978676,-16.91158827413723
1966,2488800,2778600,1.1164416586306654,0.3393435438600602,10.86452147483068
1967,2568400,2806900,1.0928593676997354,16.508214425736316,6.758557923576885
1968,2690000,2909700,1.0816728624535317,10.162999409843133,3.9754976498881396
1969,2952300,3058600,1.036005825966196,-33.595669000216624,-1.9821730408048355
1970,2747100,1814200,0.6604055185468312,-3.427808222639182,-38.486698513252904
1971,2361100,2957000,1.252382364152302,-13.035317627209125,14.872247016372842
1972,2041900,2165100,1.060335961604388,-21.890960817318277,-4.205033148896563
1973,2437400,2003000,0.8217773036842537,18.185812486088956,-26.857037297083373
1974,2977900,4210800,1.4140165888713525,21.1575504942122,24.018765605992442
1975,2809900,3277100,1.1662692622513258,4.024967698322419,0.8181566332319373
1976,3171300,4122000,1.299782423611768,-7.717111784910505,10.766259658677512
1977,3313900,3248800,0.980355472404116,-4.6460910675031215,-17.623246964918383
1978,3608900,2945500,0.8161766743328992,-1.8989334972522869,-32.3645381449241
1979,3705600,4399500,1.1872571243523315,-16.060184005938495,-2.9519406830392496
1980,4120800,3739100,0.9073723548825472,-10.208281960143877,-26.82549847673045
1981,4333100,3315200,0.7650873508573539,1.83557789220018,-39.117057296704495
1982,4593000,4803000,1.045721750489876,-28.392059469513278,-17.872745145265757
1983,4865400,5322100,1.0938668968635672,12.913263140326674,-15.199895720002356
1984,4746200,4188600,0.8825165395474274,-6.789919332877985,-32.455842537604354
1985,4651600,6284200,1.350976008255224,-8.217075674152742,2.0977233905312254
1986,4147700,4316300,1.0406490344046098,-20.626798772776898,-22.331504983490408
1987,4260200,5376800,1.2621003708746068,-21.094544085764547,-6.959147337813673
1988,3312400,3882300,1.172050476995532,16.722290645530183,-14.644668583343897
1989,3297400,5225100,1.5846121186389277,-7.384370042189652,14.018586079839496
1990,3476400,4800000,1.380738695201933,-2.4352356720794,-1.8263838149522211
1991,3632200,5449100,1.5002202521887562,0.6001796438895562,5.421632720006142
1992,3229900,4736000,1.4662992662311527,0.1974194217711924,1.8469780212296514
1993,3669300,5978900,1.6294388575477612,-9.991118697822282,11.885148686554352
1994,3852400,6689300,1.7363980895026476,-17.885598794168917,17.882470371372087
1995,3848300,5437900,1.4130655094457292,0.8894033420963205,-5.139979184857904
1996,3892400,6826700,1.753853663549481,13.49183594031442,16.436587349992994
1997,4263700,7516000,1.7627881886624293,-16.634349876946978,15.750920428334018
1998,4204900,7724500,1.837023472615282,-2.035539927547493,19.32160725444845
1999,4515300,8170100,1.809425730294776,7.288091794048857,16.27221988748783
2000,4556200,9004100,1.9762301918265224,-19.24838620513495,25.64731473314537
2001,4460300,5814400,1.303589444656189,-28.08870632278169,-17.98644897238082
2002,4349900,7759900,1.783926067265914,-15.582444530739991,11.0704010163339
2003,4457700,4046900,0.9078448527267424,-1.0407756941984354,-44.05562103945701
2004,4917000,11070000,2.25137278828554,-23.00418934804634,37.32867885058697
2005,5118300,8618900,1.683938026297794,0.6385397458884636,1.684250894713756
2006,4752700,9088100,1.9121972773370923,-36.31047213562784,14.318864447260099
2007,4037000,5134300,1.2718107505573446,-9.320080808008465,-24.71502615323754
2008,4258200,5820200,1.3668216617350053,-2.2079889558643857,-19.880096637329117
2009,4541900,8274000,1.8217045729760672,-9.760660111723832,5.7524875082440206
2010,5005900,8114100,1.6209073293513654,-44.11531807886627,-6.8043929801467975
2011,4639500,5004600,1.0786938247655995,-5.17236366238766,-38.56726917324489
2012,5155761,11045107,2.142284524049893,-28.13050743048568,20.859881243374296
2013,4909209,6744055,1.373755935019267,-7.3893903331992705,-23.21855867975839
2014,5114891,9976941,1.950567666055836,-7.907764351339863,8.015713360947531
2015,5038134,8824410,1.7515234807172655,-32.89139850390516,-3.892339947011385
2016,4615761,8510577,1.8438079874586228,-9.942033735416762,0.25592935675677114
2017,4677774,9644881,2.061852710284849,-23.8021158236094,11.106613122284276
2018,4056574,7698552,1.897796514990236,-15.531406670983072,1.3572310465521287
2019,4369200,9979220,2.28399249290488,-30.01960394905157,20.90851696874004
2020,4132709,5842187,1.4136458676379102,-32.778371597251045,-25.81882891803024
2021,4387514,8792706,2.004029160932592,18.31851014057073,4.251196603961513
2022,4718004,12919145,2.7382649527215324,-6.435995665827981,41.22415439675928
