sid,season,name,n_obs,min_dist_wa_km,peak_bom_wind_kt,min_bom_pres_hpa,peak_usa_wind_kt,min_usa_pres_hpa,peak_usa_sshs,peak_wmo_wind_kt,min_wmo_pres_hpa,date_peak,lat_peak,lon_peak,wa_affecting,decade
1986061S13124,1986,Victor,60,209.45460266253224,100.0,930.0,105.0,,3,100.0,930.0,1986-03-05 06:00:00,-17.5,116.2,True,1985-94
1986067S11080,1986,Honorinina,127,3870.3600510501005,,,110.0,,3,82.0,941.0,1986-03-13 12:00:00,-15.9,54.8,False,1985-94
1986070S13082,1986,Iarima,57,2529.710374787467,,,35.0,,0,36.0,991.0,1986-03-14 12:00:00,-17.6,77.1,False,1985-94
1986085S13091,1986,Jefotra,87,2632.4977389633355,,,105.0,,3,72.0,954.0,1986-03-29 12:00:00,-18.0,70.0,False,1985-94
1986095S11105,1986,Alison:Krisostoma,78,1516.2665122412982,60.0,974.0,75.0,,1,60.0,974.0,1986-04-09 18:00:00,-13.7,89.8,False,1985-94
1986103S19089,1986,Krisostoma,10,2167.1622071206803,,,,,-5,,,1986-04-13 09:00:00,-20.2,91.2,False,1985-94
1986129S12094,1986,Lila,9,2355.1202307080785,,,,,-5,,,1986-05-09 03:00:00,-14.6,93.0,False,1985-94
1986124S05090,1986,Billy:Lila,91,31.73213004820766,90.0,950.0,95.0,,2,90.0,950.0,1986-05-10 12:00:00,-16.8,89.6,True,1985-94
1986130S15088,1986,Lila,24,158.82312221946992,,,,,-5,,,1986-05-11 21:00:00,-23.049999999999997,93.35,True,1985-94
1986212S08085,1987,Unnamed,33,3516.7973796755496,,,45.0,,0,,,1986-08-01 06:00:00,-7.6,79.2,False,1985-94
1987001S14055,1987,Unnamed,45,5166.840249889522,,,,,-5,,,1987-01-03 18:00:00,-20.2,54.0,False,1985-94
1987006S06076,1987,Unnamed,51,3797.784732048529,,,45.0,,0,,,1987-01-10 18:00:00,-11.3,80.0,False,1985-94
1987009S08095,1987,Unnamed,31,1859.4190496496765,,,55.0,,0,,,1987-01-10 18:00:00,-9.9,97.9,False,1985-94
1987016S13066,1987,Alinina,63,3744.153493825946,,,75.0,,1,52.0,976.0,1987-01-18 06:00:00,-17.4,69.0,False,1985-94
1987015S16125,1987,Connie,67,32.34754577224136,85.0,950.0,55.0,,0,85.0,950.0,1987-01-19 03:00:00,-19.8,118.5,True,1985-94
1987019S12140,1987,Irma,29,724.8019845822,60.0,978.0,30.0,,-1,60.0,978.0,1987-01-20 06:00:00,-13.4,136.6,False,1985-94
1987031S15124,1987,Damien,74,39.60601435567251,50.0,980.0,50.0,,0,50.0,980.0,1987-02-02 18:00:00,-17.0,121.9,True,1985-94
1987036S15066,1987,Bemazava,97,4449.9050233675325,,,,,-5,36.0,997.0,1987-02-11 06:00:00,-20.8,65.5,False,1985-94
1987040S19051,1987,Clotilda,105,3577.2831329013657,,,45.0,,0,60.0,970.0,1987-02-12 18:00:00,-20.8,54.8,False,1985-94
1987053S15127,1987,Elsie,48,31.541100343835765,100.0,940.0,60.0,,0,100.0,940.0,1987-02-25 06:00:00,-19.3,120.9,True,1985-94
1987062S13072,1987,Daodo,127,3690.3473934956714,,,75.0,,1,72.0,954.0,1987-03-09 06:00:00,-14.0,73.4,False,1985-94
1987096S11144,1987,Kay,89,146.1679804193702,60.0,976.0,65.0,,1,60.0,976.0,1987-04-12 18:00:00,-14.2,122.0,True,1985-94
1987110S27050,1987,Elizabetha,75,5353.487741465835,,,75.0,,1,52.0,976.0,1987-04-24 06:00:00,-29.1,42.8,False,1985-94
1987110S07073,1987,Unnamed,53,4183.123905903905,,,45.0,,0,,,1987-04-25 06:00:00,-14.3,74.9,False,1985-94
1987176S08087,1987,Unnamed,17,3225.3770510837976,,,30.0,,-1,,,1987-06-25 00:00:00,-8.0,87.4,False,1985-94
1987304S04086,1988,Unnamed,77,3623.9312995369523,,,55.0,,0,,,1987-11-07 00:00:00,-11.9,67.5,False,1985-94
1987325S06050,1988,Unnamed,45,7095.605871734281,,,40.0,,0,,,1987-11-24 18:00:00,-11.5,41.1,False,1985-94
1987340S07095,1988,Ariny,87,2601.030782504836,,,55.0,,0,36.0,997.0,1987-12-11 00:00:00,-15.2,84.6,False,1985-94
1987358S10070,1988,Benandro,119,4709.8937735730315,,,35.0,,0,36.0,991.0,1987-12-27 00:00:00,-13.9,69.9,False,1985-94
1988012S11061,1988,Calidera,77,5513.95765715384,,,65.0,,1,62.0,966.0,1988-01-15 00:00:00,-16.2,50.2,False,1985-94
1988019S24044,1988,Calidera,20,5513.95765715384,,,,,-5,36.0,1000.0,1988-01-20 09:00:00,-28.05,47.55,False,1985-94
1988021S12080,1988,Doaza,93,3823.658534260356,,,115.0,,4,72.0,954.0,1988-01-30 12:00:00,-24.0,38.2,False,1985-94
1988028S07100,1988,Frederic,43,1884.2705318531087,85.0,955.0,65.0,,1,85.0,955.0,1988-01-31 12:00:00,-16.1,96.2,False,1985-94
1988037S13109,1988,Ezenina:Gwenda,101,1151.6207091410542,100.0,941.0,90.0,,2,100.0,941.0,1988-02-12 00:00:00,-17.1,90.1,False,1985-94
1988055S10051,1988,Filao,63,6745.880786267197,,,85.0,,2,72.0,954.0,1988-03-01 06:00:00,-18.9,38.4,False,1985-94
1988072S08088,1988,Gasitao,107,2395.0889471455425,,,130.0,,4,92.0,927.0,1988-03-19 00:00:00,-16.2,62.9,False,1985-94
1988076S14056,1988,Hely,141,5230.1004983372895,,,45.0,,0,52.0,976.0,1988-03-19 00:00:00,-11.4,52.6,False,1985-94
1988082S13063,1988,Unnamed,14,5504.201467199828,,,,,-5,,,1988-03-23 06:00:00,-13.7,54.3,False,1985-94
1988089S17048,1988,Unnamed,12,6741.817893746896,,,25.0,,-1,,,1988-03-28 18:00:00,-16.7,48.1,False,1985-94
1988125S10071,1988,Iarisena,85,4774.113987198321,,,40.0,,0,36.0,991.0,1988-05-09 18:00:00,-15.3,64.7,False,1985-94
1988138S07092,1988,Herbie,39,51.419056690263766,50.0,982.0,35.0,,0,50.0,982.0,1988-05-20 18:00:00,-25.1,110.1,True,1985-94
1988304S08077,1989,Adelinina,73,3337.420566162411,,,75.0,,1,36.0,991.0,1988-11-02 18:00:00,-12.3,78.3,False,1985-94
1988310S08100,1989,Barisaona,145,2139.851143629563,90.0,,100.0,,3,72.0,954.0,1988-11-16 00:00:00,-13.1,73.5,False,1985-94
1988347S12128,1989,Ilona,65,24.30377802488219,80.0,960.0,85.0,,2,80.0,960.0,1988-12-17 00:00:00,-18.3,115.3,True,1985-94
1989006S15044,1989,Calasanjy,87,6945.413066269761,,,75.0,,1,72.0,954.0,1989-01-12 18:00:00,-17.6,42.2,False,1985-94
1989010S15063,1989,Dona,41,3982.498572555324,,,,,-5,28.0,997.0,1989-01-12 18:00:00,-21.8,61.6,False,1985-94
1989018S10082,1989,Edme,79,3261.7405765030867,,,115.0,,4,52.0,976.0,1989-01-23 18:00:00,-19.8,81.2,False,1985-94
1989023S08103,1989,John,81,754.4078231668333,40.0,990.0,,,-5,40.0,990.0,1989-01-26 15:00:00,-12.2,96.2,False,1985-94
1989024S11064,1989,Firinga,113,5003.197732809289,,,90.0,,2,72.0,954.0,1989-01-28 18:00:00,-19.5,57.6,False,1985-94
1989035S11106,1989,Kirrily,65,629.2523682955684,80.0,955.0,75.0,,1,80.0,955.0,1989-02-09 06:00:00,-20.9,107.2,False,1985-94
1989044S12102,1989,Hanitra:Leon,129,1696.37113663661,45.0,988.0,125.0,,4,72.0,954.0,1989-02-19 06:00:00,-12.8,90.2,False,1985-94
1989047S13079,1989,Gizela,63,3876.8485395389835,,,65.0,,1,52.0,976.0,1989-02-20 00:00:00,-18.7,72.5,False,1985-94
1989054S17117,1989,Unnamed,17,38.162982765090376,,,45.0,,0,,,1989-02-24 00:00:00,-20.0,117.3,True,1985-94
1989056S23039,1989,Iana,33,5726.710244701171,,,,,-5,44.0,984.0,1989-02-27 06:00:00,-23.4,48.0,False,1985-94
1989060S09097,1989,Marcia,45,1515.3709753017147,35.0,995.0,35.0,,0,35.0,995.0,1989-03-03 06:00:00,-17.7,99.4,False,1985-94
1989067S17041,1989,Unnamed,33,6267.901641137237,,,35.0,,0,,,1989-03-09 00:00:00,-22.3,41.5,False,1985-94
1989080S16066,1989,Jinabo,91,5005.81753651219,,,65.0,,1,62.0,966.0,1989-03-26 12:00:00,-19.5,50.1,False,1985-94
1989084S18122,1989,Ned,63,25.770282539529752,100.0,941.0,100.0,,3,100.0,941.0,1989-03-28 12:00:00,-20.0,109.3,True,1985-94
1989086S08081,1989,Krisy,27,3907.5917041327248,,,30.0,,-1,,,1989-03-29 12:00:00,-10.6,73.7,False,1985-94
1989087S11073,1989,Krisy,113,4387.539299026195,,,105.0,,3,82.0,941.0,1989-04-02 00:00:00,-14.8,69.9,False,1985-94
1989094S05086,1989,Lezissy,59,3641.9491483390275,,,45.0,,0,44.0,984.0,1989-04-07 00:00:00,-12.8,72.1,False,1985-94
1989106S11128,1989,Orson,67,54.97126746245127,130.0,905.0,140.0,,5,130.0,905.0,1989-04-22 00:00:00,-16.4,116.2,True,1985-94
1989189S07088,1990,Unnamed,35,3269.963974409654,,,30.0,,-1,,,1989-07-10 06:00:00,-8.0,86.6,False,1985-94
1989194S06095,1990,Unnamed,43,1995.456020762734,,,35.0,,0,,,1989-07-15 06:00:00,-15.2,94.2,False,1985-94
1989265S05085,1990,Unnamed,45,3656.4705526200546,,,30.0,,-1,,,1989-09-25 18:00:00,-13.6,65.1,False,1985-94
