decade,n_WA,mean_BOM_wind_kt,mean_USA_wind_kt,median_BOM_wind_kt,mean_min_pres_hPa,pct_Cat3plus
1985-94,47,75.5,65.43478260869566,77.5,959.125,17.02127659574468
1995-04,55,78.22916666666667,79.50980392156863,72.5,955.4791666666666,38.18181818181819
2005-14,50,69.0625,76.86046511627907,65.0,964.3125,28.000000000000004
2015-24,42,63.333333333333336,74.72222222222223,55.0,972.5,19.047619047619047
