decade,WA_RI,WA_n,WA_RI_pct,SI_RI,SI_n,SI_RI_pct
1985-94,10,47,21.27659574468085,51,206,24.75728155339806
1995-04,24,55,43.63636363636363,80,203,39.40886699507389
2005-14,20,50,40.0,70,176,39.77272727272727
2015-24,16,42,38.095238095238095,72,173,41.61849710982659
