sid,season,name,n_obs,min_dist_wa_km,peak_bom_wind_kt,min_bom_pres_hpa,peak_usa_wind_kt,min_usa_pres_hpa,peak_usa_sshs,peak_wmo_wind_kt,min_wmo_pres_hpa,date_peak,lat_peak,lon_peak,wa_affecting,decade
1993025S12136,1993,Unnamed,125,34.607064143538906,,,35.0,,0,,,1993-01-26 18:00:00,-14.2,135.7,True,1985-94
1993348S13120,1994,Naomi,34,23.792022770714084,80.0,960.0,55.0,,0,80.0,960.0,1993-12-17 00:00:00,-18.5,121.4,True,1985-94
1993362S12130,1994,Oscar,97,192.62767978403923,35.0,995.0,40.0,,0,35.0,995.0,1994-01-03 00:00:00,-17.0,120.4,True,1985-94
1994010S17124,1994,Farah:Pearl,93,56.608995194953565,85.0,950.0,95.0,,2,85.0,950.0,1994-01-17 06:00:00,-16.3,94.2,True,1985-94
1994047S16124,1994,Unnamed,59,24.062934175879697,,,35.0,,0,,,1994-02-19 12:00:00,-18.1,121.6,True,1985-94
1994071S10119,1994,Sharon,79,471.9369048132881,105.0,930.0,110.0,,3,105.0,930.0,1994-03-15 12:00:00,-16.0,112.9,True,1985-94
1994095S08129,1994,Vivienne,67,300.4231077625809,85.0,955.0,70.0,,1,85.0,955.0,1994-04-08 00:00:00,-12.6,120.8,True,1985-94
1994344S09112,1995,Annette,83,71.30877565560861,100.0,925.0,110.0,,3,100.0,925.0,1994-12-18 00:00:00,-18.2,120.2,True,1995-04
1995049S11133,1995,Bobby,77,20.93265641366052,105.0,925.0,110.0,,3,105.0,925.0,1995-02-24 09:00:00,-21.1,115.6,True,1995-04
1995091S11145,1995,Unnamed,41,30.919523018557758,,,25.0,,-1,,,1995-04-03 00:00:00,-11.3,136.2,True,1995-04
1995089S09131,1995,Chloe,85,123.72528160413236,120.0,920.0,125.0,,4,120.0,920.0,1995-04-07 00:00:00,-14.1,123.3,True,1995-04
1995340S10116,1996,Frank,122,25.199242153218197,95.0,950.0,115.0,,4,95.0,950.0,1995-12-10 04:00:00,-19.7,114.8,True,1995-04
1995348S15135,1996,Gertie,129,100.71774268357268,75.0,965.0,75.0,,1,75.0,965.0,1995-12-19 12:00:00,-18.4,120.1,True,1995-04
1996025S14125,1996,Isobel,94,116.06963741509264,35.0,995.0,45.0,,0,35.0,995.0,1996-01-29 06:00:00,-13.7,116.6,True,1995-04
1996026S14143,1996,Jacob,168,35.06207503864388,85.0,955.0,90.0,,2,85.0,955.0,1996-02-04 22:00:00,-20.5,113.6,True,1995-04
1996066S17129,1996,Kirsty,121,0.0,100.0,935.0,100.0,,3,100.0,935.0,1996-03-11 18:00:00,-19.8,119.7,True,1995-04
1996095S09133,1996,Olivia,130,104.29834672604724,105.0,925.0,125.0,,4,105.0,925.0,1996-04-09 12:00:00,-16.6,115.5,True,1995-04
1996103S12129,1996,Unnamed,63,70.44387312034608,,,30.0,,-1,,,1996-04-16 06:00:00,-15.2,115.7,True,1995-04
1996346S09129,1997,Nicholas,81,53.33548369281574,45.0,985.0,45.0,,0,45.0,985.0,1996-12-14 00:00:00,-14.7,123.7,True,1995-04
